DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,72,4,7,3,2,636,323,0,1,0,2,0,4,9,1,5,3,2.0,4,4,26,37,7,29.0,1,0,2,4
1,84,7,7,3,2,407,323,0,1,0,2,0,4,9,1,5,3,2.0,0,3,26,44,7,45.0,1,0,2,4
1,84,7,7,3,2,407,323,0,1,0,2,0,4,9,1,5,3,2.0,1,1,11,44,5,35.0,2,2,2,4
1,84,7,7,3,2,407,323,0,1,0,2,0,4,9,1,5,3,2.0,1,1,11,44,5,35.0,2,2,2,4
1,96,3,7,3,2,36,172,0,3,1,2,1,4,9,1,8,3,2.0,4,4,26,31,7,25.0,1,0,2,9
1,96,3,7,3,2,36,172,0,3,1,2,1,4,9,1,8,3,2.0,0,3,26,46,7,32.0,1,0,2,9
1,96,3,7,3,2,36,172,0,3,1,2,1,4,9,1,8,3,2.0,0,3,26,46,7,32.0,1,0,2,9
1,108,5,7,3,2,407,273,0,3,1,2,2,4,0,1,8,3,2.0,1,3,11,31,5,39.0,1,1,2,9
1,108,5,7,3,2,407,273,0,3,1,2,2,4,0,1,8,3,2.0,0,1,26,31,5,32.0,2,2,2,9
1,108,5,7,3,2,407,273,0,3,1,2,2,4,0,1,8,3,2.0,0,3,26,164,7,49.0,1,0,2,9
1,120,6,7,3,2,636,268,0,3,0,1,0,4,9,1,0,3,2.0,0,3,26,164,7,49.0,1,0,2,9
1,120,6,7,3,2,636,268,0,3,0,1,0,4,9,1,0,3,2.0,0,0,26,46,7,50.0,1,0,2,10
1,120,6,7,3,2,636,268,0,3,0,1,0,4,9,1,0,3,2.0,0,0,26,46,7,40.0,1,0,2,10
1,132,3,7,3,2,46,101,0,3,0,2,0,4,9,1,8,3,2.0,0,0,26,46,7,40.0,1,0,2,10
1,132,3,7,3,2,46,101,0,3,0,2,0,4,9,1,8,3,2.0,0,4,26,15,5,34.0,1,0,2,9
1,132,3,7,3,2,46,101,0,3,0,2,0,4,9,1,8,3,2.0,0,3,26,46,5,52.0,1,0,2,9
1,0,5,7,3,2,243,73,0,2,0,2,2,4,10,8,9,5,1.0,1,3,26,123,3,24.0,1,0,1,16
1,0,5,7,3,2,243,73,0,2,0,2,2,4,10,8,9,5,1.0,1,3,26,123,3,24.0,1,0,1,16
