DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
XALAPA,07/01/2014,MARTES,XALAPA,XALAPA,URBANA,AVILA CAMACHO,CENTRO,BUENO,LLUVIA,ASFALTO,MOJADO,A NIVEL,MARCA EN PAVIMENTO,SIN RESTRICCION,COLISION,ANGULO,VEHICULO CIRCULANDO,2.0,M - MOTOCICLETA,OTRAS,VERACRUZ,BLANCO,P-PARTICULAR,30.0,HOMBRE,C,NO,VELOCIDAD INMODERADA
XALAPA,08/01/2014,VIERNES,XALAPA,XALAPA,URBANA,AMERICAS,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,MARCA EN PAVIMENTO,SIN RESTRICCION,COLISION,ANGULO,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,NISSAN,VERACRUZ,BLANCO/ROJO,PE-PUBLICO ESTATAL,43.0,HOMBRE,A,SI,OTRO
XALAPA,08/01/2014,VIERNES,XALAPA,XALAPA,URBANA,AMERICAS,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,MARCA EN PAVIMENTO,SIN RESTRICCION,COLISION,ANGULO,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,NISSAN,VERACRUZ,GRIS,P-PARTICULAR,54.0,MUJER,C,SI,OTRO
XALAPA,08/01/2014,VIERNES,XALAPA,XALAPA,URBANA,AMERICAS,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,MARCA EN PAVIMENTO,SIN RESTRICCION,COLISION,ANGULO,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,NISSAN,VERACRUZ,GRIS,P-PARTICULAR,54.0,MUJER,C,SI,OTRO
XALAPA,09/01/2014,LUNES,XALAPA,XALAPA,URBANA,20 DE NOVIEMBRE,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,LATERAL,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,CHEVROLET,VERACRUZ,BLANCO/VERDE,PE-PUBLICO ESTATAL,33.0,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCION
XALAPA,09/01/2014,LUNES,XALAPA,XALAPA,URBANA,20 DE NOVIEMBRE,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,LATERAL,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,OTRAS,VERACRUZ,BLANCO,P-PARTICULAR,28.0,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCION
XALAPA,09/01/2014,LUNES,XALAPA,XALAPA,URBANA,20 DE NOVIEMBRE,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,LATERAL,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,OTRAS,VERACRUZ,BLANCO,P-PARTICULAR,28.0,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCION
XALAPA,10/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,LAS TRANCAS,LAS TRANCAS,REGULAR,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,OTROS,OTRAS,VERACRUZ,AMARILLO,PE-PUBLICO ESTATAL,26.0,HOMBRE,A,SI,NO GUARDAR DISTANCIA
XALAPA,10/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,LAS TRANCAS,LAS TRANCAS,REGULAR,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,OTROS,NISSAN,VERACRUZ,BLANCO,P-PARTICULAR,47.0,MUJER,B,SI,NO GUARDAR DISTANCIA
XALAPA,10/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,LAS TRANCAS,LAS TRANCAS,REGULAR,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,OTROS,NISSAN,VERACRUZ,BLANCO,P-PARTICULAR,47.0,MUJER,B,SI,NO GUARDAR DISTANCIA
XALAPA,11/01/2014,SABADO,XALAPA,XALAPA,URBANA,LAZARO CARDENAS,EL OLMO,REGULAR,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,C - CAMIONETA,FORD,VERACRUZ,ROJO,P-PARTICULAR,59.0,HOMBRE,A,SI,NO GUARDAR DISTANCIA
XALAPA,11/01/2014,SABADO,XALAPA,XALAPA,URBANA,LAZARO CARDENAS,EL OLMO,REGULAR,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,C - CAMIONETA,HONDA,VERACRUZ,AZUL,P-PARTICULAR,55.0,HOMBRE,B,SI,NO GUARDAR DISTANCIA
XALAPA,11/01/2014,SABADO,XALAPA,XALAPA,URBANA,LAZARO CARDENAS,EL OLMO,REGULAR,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,C - CAMIONETA,HONDA,VERACRUZ,AZUL,P-PARTICULAR,55.0,HOMBRE,B,SI,NO GUARDAR DISTANCIA
XALAPA,12/01/2014,LUNES,XALAPA,XALAPA,URBANA,CIRCUITO PRESIDENTES,CENTRO,BUENO,SOLEADO,CONCRETO,SECO,ASCENDENTE,SEÑAL CEDA EL PASO,SIN RESTRICCION,COLISION,POR ALCANCE,VEHICULO CIRCULANDO,2.0,A - AUTOMOVIL,NISSAN,VERACRUZ,BLANCO/VERDE,PE-PUBLICO ESTATAL,41.0,HOMBRE,A,SI,NO GUARDAR DISTANCIA
